contract_id,field,value_display,status,provenance,confidence_band,page,quote,quote_match_score,extractor_a_raw,extractor_b_raw,adversary_note
test_contract.pdf,parties,Company: [Company Name]; Investor: [Investor Name],FOUND,INFERRED,INFERRED,0,"in exchange for the payment by [Investor Name] (the “Investor”) of $[_____________] (the “Purchase Amount”) on or about [Date of Safe], [Company Name], a [State of Incorporation] corporation (the “Company”), issues to the Investor the right to certain shares of the Company’s Capital Stock",100.0,,Company: [Company Name]; Investor: [Investor Name],
test_contract.pdf,contract_type,SAFE (Simple Agreement for Future Equity) - Post-Money Valuation Cap,FOUND,INFERRED,INFERRED,0,SAFE  (Simple Agreement for Future Equity),100.0,,SAFE (Simple Agreement for Future Equity) - Post-Money Valuation Cap,
test_contract.pdf,start_date,,UNKNOWN,UNKNOWN,UNGROUNDED,,,0.0,,Cannot assess - placeholder only: [Date of Safe],
test_contract.pdf,end_date,NOT_FOUND,ABSENT,ABSENT,INFERRED,,,0.0,,None,
test_contract.pdf,renewal_type,NOT_FOUND,ABSENT,ABSENT,INFERRED,,,0.0,,None,
test_contract.pdf,notice_period_days,"2 days (48 hours deemed receipt period for notices sent by U.S. mail; personal delivery, overnight courier, and email are deemed immediate)",FOUND,INFERRED,INFERRED,4,"Any notice required or permitted by this Safe will be deemed sufficient when delivered personally or by overnight courier or sent by email to the relevant address listed on the signature page, or 48 hours after being deposited in the U.S. mail as certified or registered mail with postage prepaid",100.0,,"2 days (48 hours deemed receipt period for notices sent by U.S. mail; personal delivery, overnight courier, and email are deemed immediate)",
test_contract.pdf,termination_rights,Automatic termination upon conversion into Capital Stock in an Equity Financing or upon payment/setting aside of amounts due under Section 1(b) or 1(c); no separate unilateral termination right is provided.,FOUND,INFERRED,INFERRED,1,"This Safe will automatically terminate (without relieving the Company of any obligations arising from a prior breach of or non-compliance with this Safe) immediately following the earliest to occur of: (i) the issuance of Capital Stock to the Investor pursuant to the automatic conversion of this Safe under Section 1(a); or (ii) the payment, or setting aside for payment, of amounts due the Investor pursuant to Section 1(b) or Section 1(c).",100.0,,Automatic termination upon conversion into Capital Stock in an Equity Financing or upon payment/setting aside of amounts due under Section 1(b) or 1(c); no separate unilateral termination right is provided.,
test_contract.pdf,payment_obligations,Investor pays the Purchase Amount to the Company; Company has contingent payment obligations to pay Proceeds/Cash-Out Amounts upon Liquidity or Dissolution Events and Dividend Amounts if a Common Stock dividend is paid.,FOUND,INFERRED,INFERRED,0,in exchange for the payment by [Investor Name] (the “Investor”) of $[_____________] (the “Purchase Amount”) on or about [Date of Safe],100.0,,Investor pays the Purchase Amount to the Company; Company has contingent payment obligations to pay Proceeds/Cash-Out Amounts upon Liquidity or Dissolution Events and Dividend Amounts if a Common Stock dividend is paid.,
test_contract.pdf,liability_cap,NOT_FOUND,ABSENT,ABSENT,INFERRED,,,0.0,,None,
test_contract.pdf,exclusivity,NOT_FOUND,ABSENT,ABSENT,INFERRED,,,0.0,,None,
test_contract.pdf,restrictive_covenants,"Transfer/assignment restriction: this Safe and its rights are not transferable or assignable without prior written consent, except that the Investor may assign to the Investor’s estate/heirs/successors or to control affiliates.",FOUND,INFERRED,INFERRED,4,"Neither this Safe nor the rights in this Safe are transferable or assignable, by operation of law or otherwise, by either party without the prior written consent of the other; provided, however, that this Safe and/or its rights may be assigned without the Company’s consent by the Investor (i) to the Investor’s estate, heirs, executors, administrators, guardians and/or successors in the event of Investor’s death or disability, or (ii) to any other entity who directly or indirectly, controls, is controlled by or is under common control with the Investor",100.0,,"Transfer/assignment restriction: this Safe and its rights are not transferable or assignable without prior written consent, except that the Investor may assign to the Investor’s estate/heirs/successors or to control affiliates.",
test_contract.pdf,governing_law,,UNKNOWN,UNKNOWN,UNGROUNDED,,,0.0,,"Cannot assess - governing law is expressed as the laws of the State of [Governing Law Jurisdiction], with the actual jurisdiction left blank.",
